Time,	 Total Cost,	Total Received Attack Packet,	 Total Blocked  Attack Packet,	Total Legit Packt,	 Total Blocked Legit Packet
1010,	23966,	3614,	0,	11354,	0,	
2007,	67186,	10196,	0,	33652,	0,	
3007,	72531,	11023,	0,	36053,	0,	
4009,	73370,	11144,	0,	36380,	0,	
5009,	72804,	11051,	0,	36817,	0,	
6010,	72713,	11050,	0,	36117,	0,	
7012,	72878,	11056,	0,	36406,	0,	
8012,	73610,	11164,	0,	36552,	0,	
9013,	73826,	11187,	0,	36657,	0,	
10051,	72253,	10975,	0,	36369,	0,	
11048,	55485,	6539,	4666,	36341,	0,	
12047,	55524,	6542,	4612,	36270,	0,	
13048,	54861,	6413,	4617,	36185,	0,	
14049,	55623,	6548,	4630,	36331,	0,	
15052,	56266,	6666,	4604,	36362,	0,	
16051,	54970,	6453,	4573,	36858,	0,	
17053,	55416,	6555,	4639,	36525,	0,	
18054,	56185,	6630,	4667,	36913,	0,	
19057,	55769,	6615,	4551,	36184,	0,	
20078,	52387,	6157,	4478,	34602,	0,	
21075,	42714,	3564,	7648,	36431,	0,	
22077,	40519,	3366,	7328,	34752,	0,	
23077,	40469,	3403,	7236,	34998,	0,	
24077,	40961,	3367,	7365,	35293,	0,	
25079,	42677,	3557,	7654,	36496,	0,	
26080,	41840,	3424,	7615,	35986,	0,	
27082,	41293,	3400,	7465,	35816,	0,	
28082,	40468,	3295,	7355,	34638,	0,	
29084,	42800,	3531,	7675,	36264,	0,	
30106,	38219,	3091,	7235,	32166,	0,	
31106,	37288,	1830,	8843,	34595,	0,	
32105,	36947,	1903,	8644,	34610,	0,	
33107,	37140,	1877,	8771,	34783,	0,	
34108,	36649,	1801,	8799,	35212,	0,	
35108,	36730,	1874,	8641,	34658,	0,	
36110,	39615,	2012,	9326,	36533,	0,	
37110,	39308,	2042,	9142,	36756,	0,	
38111,	38897,	1985,	9198,	36604,	0,	
39113,	39741,	2023,	9300,	37157,	0,	
40145,	35592,	1790,	8643,	32882,	0,	
41146,	37354,	1554,	9813,	37164,	0,	
42147,	36771,	1490,	9699,	36781,	0,	
43148,	36923,	1555,	9606,	36731,	0,	
44149,	36369,	1441,	9657,	36798,	0,	
45150,	36674,	1535,	9592,	36403,	0,	
46151,	35549,	1473,	9306,	35099,	0,	
47151,	36519,	1523,	9576,	36619,	0,	
48154,	34644,	1424,	9131,	35105,	0,	
49154,	34864,	1468,	9096,	34535,	0,	
50158,	31223,	1281,	8500,	30578,	0,	
51155,	30352,	223,	10698,	36641,	0,	
52157,	30767,	211,	10882,	36583,	0,	
53156,	31168,	225,	10918,	36554,	0,	
54158,	30965,	217,	10995,	36450,	0,	
55159,	31120,	220,	11049,	36654,	0,	
56159,	30531,	220,	10887,	36964,	0,	
57160,	31432,	242,	10952,	36839,	0,	
58162,	30803,	209,	10878,	36687,	0,	
59163,	30922,	223,	10895,	36466,	0,	
60163,	28040,	194,	10176,	31893,	0,	
61166,	30175,	213,	10607,	36562,	0,	
62166,	29551,	215,	10372,	34729,	0,	
63168,	30982,	214,	10979,	36549,	0,	
64168,	30231,	205,	10721,	36225,	0,	
65168,	29459,	225,	10260,	34230,	0,	
66170,	29164,	200,	10220,	34211,	0,	
67172,	29058,	204,	10225,	34484,	0,	
68171,	29445,	205,	10391,	34511,	0,	
69173,	29105,	212,	10191,	34410,	0,	
70174,	26740,	183,	9847,	30939,	0,	
71174,	31636,	222,	11084,	36599,	0,	
72176,	31065,	235,	10931,	36513,	0,	
